Address,Price ($)
#1509 - 88 Alton Towers Circ,25
#1016 - 55 DE BOERS DR,352500
#514 - 25 Laidlaw St,749000
#335 - 4750 YONGE ST,299000
#1109 - 5 SHADY GOLFWAY GLWY,309900
80 VALLEY STREAM DR,688000
80 VALLEY STREAM DR,698800
64 SEAMIST CRES,769000
80 VALLEY STREAM DR,738800
#1115 - 20 JOE SHUSTER WAY,299900
#316 - 38 JOE SHUSTER WAY,298500
31 GREEN SPRING DR,658000
95 Treetops Crt,650000
#1112 - 80 Alton Towers Circ,318000
#703 - 160 Alton Towers Circ,229000
#308 - 38 Joe Shuster Way,279000
#212 - 80 Alton Towers Circ,319900
111 Shady Hollow Dr,688000
#513 - 160 Alton Towers Circ,220000
#1003 - 20 JOE SHUSTER WAY,269900
#1619 - 38 JOE SHUSTER WAY,245000
#320 - 38 JOE SHUSTER WAY,229000
#1726 - 38 JOE SHUSTER WAY,364000
1115 20 JOE SHUSTER Way,299900
#901 - 5 San Romano Way,205000
618 CONNOR DR,849900
1623 WESTON RD,369000
1051 MIDLAND AVE,30000
220 Gilbert Ave,559000
#502 -50- 255 DUNCAN MILLS RD,589900
106 BALLACAINE DR,1089000
#104 - 80 ALTON TOWERS CIRC,329900
#704 - 150 ALTON TOWERS CIRC,318000
#256 - 1496 VICTORIA PARK AVE,449900
#1317 - 38 JOE SHUSTER WAY,239900
#120 - 4750 YONGE ST,409000
1055 MIDLAND AVE,69900
#612 - 915 MIDLAND AVE,189000
618 O'CONNOR DR,799000
4134 BATHURST ST,149900
#Ph 9 A - 1 CHEDINGTON PL,2980000
#912 - 20 JOE SHUSTER WAY,399000
4 HILLFARM DR,729900
#11 - 486 EVANS AVE,75000
84 Grandville Ave,399000
14 Fitzgibbon Ave,699900
111 Shady Hollow Dr,698000
#Lph07 - 55 DE BOERS DR,318000
64 SEAMIST CRES,729000
#2014 - 80 ALTON TOWERS CIRC,329000
#1726 - 38 JOE SHUSTER WAY,360000
#309 - 100 LEEWARD GLWY,269000
#901 - 5 San Romano Way,205000
1706 ST CLAIR AVE W,799000
#1202 - 38 Joe Shuster Way,348800
155 Eastwood Ave,599900
3 UPWOOD AVE,749000
#1901 - 20 Minowan Miikan Lane,419000
#212 - 80 Alton Towers Circ,311900
9 San Roberto Way,359900
9 San Roberto Way,359900
2436 Bayview Ave,2888800
#1203 - 55 DE BOERS DR,319900
#307 - 150 LEEWARD GLWY,299900
50 GREEN SPRING DR,699988
#2 - 1500 O'Connor Dr,55000
#604 - 100 Leeward Glwy,205000
#3 D - 1 CHEDINGTON PL,2250000
#147 - 4750 YONGE ST,499900
50 Arjay Cres,5880000
9 GREEN SPRING DR,589768
#401 - 71 Jonesville Cres,289900
#701 - 80 ALTON TOWERS CIRC,317000
#157 - 4750 YONGE ST,398800
1871 O'Connor Dr,99000
110 ARJAY CRES,5498000
#703 - 160 Alton Towers Circ,229000
2008 Sheppard Ave,92800
#1213 - 40 Nugget Ave,224900
#1609 - 5 SAN ROMANO WAY,175000
#341 - 4750 YONGE ST,295000
#307 - 220 Duncan Mill Rd,189900
#1723 - 38 JOE SHUSTER WAY,359900
#809 - 80 ALTON TOWERS CIRC,319000
#704 - 150 ALTON TOWERS CIRC,318000
1 MOBILE DR,590000
#2910 - 25 Town Centre (Locker) Crt,99
1877 Lawrence Ave,52000
#514 - 25 Laidlaw St,749000
#358 - 4750 YONGE ST,320000
#322 - 4750 YONGE ST,709000
#323 - 4750 YONGE ST,409000
6 GOLD BROOK GA,1199900
1634 WESTON RD,1189000
